image_id,image_path,reference_path,annotation_path,defect_class,group_id,split
01_missing_hole_01,data/raw/PCB_DATASET/images/Missing_hole/01_missing_hole_01.jpg,data/raw/PCB_DATASET/PCB_USED/01.JPG,data/raw/PCB_DATASET/Annotations/Missing_hole/01_missing_hole_01.xml,missing_hole,01_missing_hole_01,test
01_missing_hole_02,data/raw/PCB_DATASET/images/Missing_hole/01_missing_hole_02.jpg,data/raw/PCB_DATASET/PCB_USED/01.JPG,data/raw/PCB_DATASET/Annotations/Missing_hole/01_missing_hole_02.xml,missing_hole,01_missing_hole_02,development
01_missing_hole_03,data/raw/PCB_DATASET/images/Missing_hole/01_missing_hole_03.jpg,data/raw/PCB_DATASET/PCB_USED/01.JPG,data/raw/PCB_DATASET/Annotations/Missing_hole/01_missing_hole_03.xml,missing_hole,01_missing_hole_03,test
01_missing_hole_04,data/raw/PCB_DATASET/images/Missing_hole/01_missing_hole_04.jpg,data/raw/PCB_DATASET/PCB_USED/01.JPG,data/raw/PCB_DATASET/Annotations/Missing_hole/01_missing_hole_04.xml,missing_hole,01_missing_hole_04,test
01_missing_hole_05,data/raw/PCB_DATASET/images/Missing_hole/01_missing_hole_05.jpg,data/raw/PCB_DATASET/PCB_USED/01.JPG,data/raw/PCB_DATASET/Annotations/Missing_hole/01_missing_hole_05.xml,missing_hole,01_missing_hole_05,test
01_missing_hole_06,data/raw/PCB_DATASET/images/Missing_hole/01_missing_hole_06.jpg,data/raw/PCB_DATASET/PCB_USED/01.JPG,data/raw/PCB_DATASET/Annotations/Missing_hole/01_missing_hole_06.xml,missing_hole,01_missing_hole_06,test
01_missing_hole_07,data/raw/PCB_DATASET/images/Missing_hole/01_missing_hole_07.jpg,data/raw/PCB_DATASET/PCB_USED/01.JPG,data/raw/PCB_DATASET/Annotations/Missing_hole/01_missing_hole_07.xml,missing_hole,01_missing_hole_07,validation
01_missing_hole_08,data/raw/PCB_DATASET/images/Missing_hole/01_missing_hole_08.jpg,data/raw/PCB_DATASET/PCB_USED/01.JPG,data/raw/PCB_DATASET/Annotations/Missing_hole/01_missing_hole_08.xml,missing_hole,01_missing_hole_08,validation
01_missing_hole_09,data/raw/PCB_DATASET/images/Missing_hole/01_missing_hole_09.jpg,data/raw/PCB_DATASET/PCB_USED/01.JPG,data/raw/PCB_DATASET/Annotations/Missing_hole/01_missing_hole_09.xml,missing_hole,01_missing_hole_09,validation
01_missing_hole_10,data/raw/PCB_DATASET/images/Missing_hole/01_missing_hole_10.jpg,data/raw/PCB_DATASET/PCB_USED/01.JPG,data/raw/PCB_DATASET/Annotations/Missing_hole/01_missing_hole_10.xml,missing_hole,01_missing_hole_10,development
